1,Мареммо-абруццкая овчарка
1,Махореро
1,Меделян
1,Миниатюрная американская овчарка
1,Миттельшнауцер
1,Мопс
1,Московская сторожевая
1,Муди (порода собак)
1,Нагази
1,Неаполитанский мастиф
1,Немецкая овчарка
1,Немецкий боксёр
1,Немецкий вахтельхунд
1,Немецкий дог
1,Немецкий пинчер
1,Немецкий шпиц
1,Немецкий штихельхаар
1,Немецкий ягдтерьер
1,Ненецкая лайка
1,Нивернейский гриффон
1,Новозеландская овчарка
1,Новошотландский ретривер
1,Норботтен-шпиц
1,Норвежский бухунд
1,Норвежский лундехунд
1,Норвежский серый элкхунд
1,Норвежский чёрный элкхунд
1,Норвич-терьер
1,Нормандская гончая
1,Норфолк-спаниель
1,Норфолк-терьер
1,Ньюфаундленд (порода собак)
1,Овернский бракк
1,Одис
1,Оттерхаунд
1,Пагль
1,Папийон
1,Парсон-рассел-терьер
1,Паттердейл-терьер
1,Пекинес
1,Перуанская голая собака
1,Пикардийская овчарка
1,Пикардийский спаниель
1,Пила архентино
1,Пиренейская горная собака
1,Пиренейская овчарка
1,Пиренейский мастиф
1,Поденко ибиценко
1,Поденко канарио
1,Польская гончая
1,Польская низинная овчарка
1,Польская подгалянская овчарка
1,Польский огар
1,Польский харт
1,Померанский шпиц
1,Помски
1,Понт-одемерский спаниель
1,Португальская водяная собака
1,Португальская овчарка
1,Португальский поденгу
1,Пражский крысарик
1,Прямошёрстный ретривер
1,Пти-брабансон
1,Пудель
1,Пудельпойнтер
1,Пули
1,Пуми (порода собак)
1,Пхунсан
1,Раджапалайям (порода собак)
1,Рафейру ду Алентежу
1,Ризеншнауцер
1,Родезийский риджбек
1,Ротвейлер
1,Румынская карпатская овчарка
1,Румынская миоритская овчарка
1,Русская гончая
1,Русская псовая борзая
1,Русская салонная собака
1,Русская цветная болонка
1,Русский охотничий спаниель
1,Русский той
1,Русско-европейская лайка
1,Рыжий бретонский бассет
1,Рэт-терьер
1,Рюкю (порода собак)
1,Салюки
1,Самоедская собака
1,Сахалинский хаски
1,Северная инуитская собака
1,Сенбернар
1,Сиба-ину
1,Сибирский хаски
1,Сикоку (порода собак)
1,Силихем-терьер
1,Скайтерьер
1,Словацкая грубошёрстная легавая
1,Словацкий копов
1,Словацкий чувач
1,Слюги
1,Смоландская гончая
1,Среднеазиатская овчарка
1,Средний вандейский гриффон
1,Стабихун
1,Староанглийский бульдог
1,Староанглийский терьер
1,Стародатский пойнтер
1,Стаффордширский бультерьер
1,Суссекс-спаниель
1,Схипперке
1,Тазы (порода собак)
1,Тайваньская собака
1,Тайган (порода собак)
1,Тайский бангку
1,Тайский риджбек
1,Такса
1,Тедди-рузвельт-терьер
1,Теломиан
1,Тентерфилд-терьер
1,Течичи
1,Тибетский мастиф
1,Тибетский спаниель
1,Тибетский терьер
1,Той-бульдог
1,Той-фокстерьер
1,Торньяк
1,Тоса-ину
1,Трансильванская гончая
1,Тувинская овчарка
1,Уиппет
1,Уругвайский симаррон
1,Уэльская овчарка
1,Фален
1,Фараонова собака
1,Фарфоровая гончая
1,Филд-спаниель
1,Финская гончая
1,Финский лаппхунд
1,Финский шпиц
1,Фландрский былье
1,Фокстерьер
1,Французский бульдог
1,Французский спаниель
1,Ханаанская собака
1,Харьер
1,Хеллефорсхунд
1,Ховаварт
1,Хоккайдо (порода собак)
1,Хорватская овчарка
1,Хортая борзая
1,Цвергшнауцер
1,Чау-чау
1,Чёрно-подпалый кунхаунд
1,Чёрный терьер
1,Чесапик-бей-ретривер
1,Чехословацкая волчья собака
1,Чешская пастушья собака
1,Чешский терьер
1,Чинук (порода собак)
1,Чирнеко дель Этна
1,Чихуахуа
1,Чукотская ездовая
1,Шапендуа
1,Шарпей
1,Шарпланинская овчарка
1,Шведский белый элкхунд
1,Шведский вальхунд
1,Шведский лаппхунд
1,Швейцарская гончая
1,Шелковистый виндхаунд
1,Ши-тцу
1,Шотландский сеттер
1,Шотландский терьер
1,Шьен партиколор а пуаль фризе
1,Энтлебухер зенненхунд
1,Эрдельтерьер
1,Эстонская гончая
1,Эштрельская овчарка
1,Южнорусская овчарка
1,Юрская гончая
1,Якутская лайка
1,Ямтхунд
1,Японский терьер
1,Японский хин
1,Японский шпиц
2,Порода неизвестна
2,Абиссинская
2,Австралийский мист
2,Азиатская (табби)
2,Американская жесткошёрстная
2,Американская короткошёрстная
2,Американский бобтейл длинношёрстный
2,Американский бобтейл короткошёрстный
2,Американский кёрл длинношёрстный
2,Американский кёрл короткошёрстный
2,Анатолийская
2,Аравийский мау
2,Балинезийская (Балинез, балийская)
2,Бенгальская
2,Бомбейская
2,Бразильская короткошёрстная
2,Британская длинношёрстная
2,Британская короткошёрстная
2,Бурма (Бурманская)
2,Бурмилла длинношёрстный
2,Бурмилла короткошёрстный
2,Гавана
2,Гималайская кошка
2,Девон рекс
2,Донской сфинкс
2,Египетская мау
2,Йорк
2,Калифорнийская сияющая
2,Канаани
2,Карельский бобтейл длинношёрстный
2,Карельский бобтейл короткошёрстный
2,Кельтская (Европейская короткошёрстная)
2,Кимрик
2,Колорпойнт
2,Корат
2,Корниш рекс
2,Курильский бобтейл длинношёрстный
2,Курильский бобтейл короткошёрстный
2,Лаперм длинношёрстный
2,Лаперм короткошёрстный
2,Манчкин длинношёрстная
2,Манчкин короткошёрстная
2,Мейн-кун
2,Меконгский бобтейл
2,Минскин
2,Мэнкс (Мэнская кошка)
2,Наполеон
2,Невская маскарадная
2,Немецкий рекс
2,Нибелунг
2,Норвежская лесная
2,Орегон-рекс
2,Ориентальная длинношёрстная
2,Ориентальная короткошёрстная
2,Охос азулес
2,Охос азулес длинношёрстный
2,Оцикет
2,Персидская (Колорпойнт)
2,Петерболд
2,Пиксибоб длинношёрстный
2,Пиксибоб короткошёрстный
2,Рагамаффин
2,Русская голубая
2,Рэгдолл
2,Саванна
2,Священная бирманская
2,Сейшельская длинношёрстная
2,Сейшельская короткошёрстная
2,Селкирк рекс длинношёрстный
